ref_sage

1013
10133
10195
10248
1026
1069
10724
10732
1110
11198
1124
11266
11267
11390
11392
11393
11675
11682
11683
11684
11688
11690
11691
11692
11733
11745
11746
1176
1177
11836
11871
11872
11873
11874
11877
1190
11936
1198
11983
11984
11985
12027
12028
12030
1210
1213
12140
12156
12157
12178
1218
12188
12190
12191
12194
12196
1225
12266
12269
12331
12352
12365
12368
12371
12373
12376
12377
12378
12382
12383
12384
12447
12449
12450
12467
12469
12488
12490
12529
12557
12559
1256
12560
12561
12658
12659
12660
1293
1300
1307
13077
1309
13094
1318
1327
1333
13351
1338
13380
1340
1344
1346
13509
13564
13588
1359
13595
13596
1366
138
14017
14082
1412
1414
14153
14176
14177
14229
14245
14345
14385
14386
14512
14513
1452
1453
1454
1456
1463
1472
1483
1493
14935
14936
1494
15326
15578
1559
15633
1570
1572
1586
1591
1594
1596
1598
16000
16141
16142
16143
1622
1643
1651
1658
1665
1728
1787
183
1845
1850
1865
1866
1867
1873
1892
1900
19000
1903
1907
1910
1920
1937
1948
1957
1971
1974
1977
1980
1983
1985
1988
1990
1994
1996
1998
2004
2006
2008
2011
2013
2015
2017
2019
2021
2023
2025
2031
2035
2036
204
2046
2049
2054
2057
2059
2090
2091
2100
2103
2105
2109
2112
2113
2117
2122
2125
2127
2128
2130
2135
2141
2190
2215
222
23
232
2387
239
2393
2394
24
2419
247
2481
25
2517
2518
252
253
256
2563
2589
26
260
2622
2630
2662
2663
27
2716
2741
2753
2759
2761
277
2796
2807
2809
2815
2816
2817
2819
2823
2838
286
288
2882
2888
290
2921
2929
2953
2959
296
299
3015
3018
3019
3020
3021
3022
3023
3057
3072
3085
3095
3099
3112
3130
3157
3183
3195
3236
3262
3277
3323
3331
334
3340
335
339
340
3440
3520
3601
366
379
394
396
401
413
448
475
483
485
493
496
499
508
542
564
565
567
592
5962
610
6221
6222
6321
633
639
6440
650
652
6682
6714
6739
6744
6759
677
6774
678
6782
6795
6823
6834
6835
6836
6837
6838
6839
6840
6849
6859
6909
692
70
701
711
7173
719
7199
7252
730
735
7373
7378
7403
7406
742
748
749
764
7727
7729
773
7737
777
7830
808
818
826
833
834
841
848
851
855
8563
862
877
878
888
889
894
896
898
90000
90001
90002
90003
90004
90005
90006
90007
90008
90009
90010
90011
90012
90013
90014
90015
90016
90017
90018
90019
90020
90021
90022
90023
90024
90025
90026
90027
90028
90029
90030
90031
90033
90034
90035
90036
90037
90038
90039
90040
90041
90042
90043
90044
90045
90046
90047
90048
90049
90050
90051
90052
90053
90054
90055
90056
90057
90058
90059
90060
90061
90062
90063
90064
90065
90066
90067
90068
90069
90070
90071
90072
90073
90074
90075
90076
90077
90078
90079
90080
90081
90082
90083
90084
90085
90086
90087
90088
90089
90090
90091
90092
90093
90094
90095
90096
90097
90098
90099
901
90100
90101
90102
90103
90104
90105
90106
90107
90108
90109
90110
90111
90112
90113
90114
90115
90116
90117
90118
90119
90120
90121
90122
90123
90124
90125
90126
90127
90128
90129
90130
90131
90132
90133
90134
90135
90136
90137
90138
90139
90140
90141
90142
90143
90144
90145
90146
90147
90148
90149
90150
90151
90152
90153
90154
90155
90156
90157
90158
90159
90160
90161
90162
90163
90164
90165
90166
90167
90168
90170
90171
90172
90173
90174
90175
90176
90177
90178
90179
90180
90181
90182
90183
90184
90185
90186
90187
90188
90189
90190
90191
90192
90193
90194
90195
90196
90197
90198
90199
90201
90202
90203
90204
90205
90206
90207
90208
90209
90210
90211
90212
90213
90214
90215
90216
90217
90218
90219
90220
90221
90222
90223
90224
90225
90226
90227
90228
90229
90230
90231
90232
90233
90234
90235
90236
90237
90238
90239
90240
90241
90242
90243
90244
90245
90246
90247
90248
90249
90250
90251
90252
90253
90254
90255
90256
90257
90258
90259
90260
90261
90262
90263
90264
90265
90266
90267
90268
90269
90270
90271
90272
90273
90274
90275
90276
90277
90278
90279
90280
90281
90282
90283
90284
90285
90286
90287
90288
90289
90290
90291
90292
90293
90294
90295
90296
90297
90298
90299
90300
90301
90302
90303
90304
90305
90306
90307
90308
90309
90310
90311
90312
90313
90314
90315
90316
90317
90318
90319
90320
90321
90322
90323
90324
90325
90326
90327
90328
90329
90330
90331
90332
90333
90334
90335
90336
90337
90338
90339
90340
90341
90342
90343
90344
90346
90347
90348
90349
90350
90351
90352
90353
90354
90355
90356
90357
90359
90360
90361
90362
90363
90364
90365
90366
90367
90368
90369
90370
90371
90372
90373
90374
90375
90376
90377
90378
90379
90380
90381
90382
90383
90384
90385
90386
90387
90388
90389
90390
90391
90392
90393
90394
904
906
919
921
927
930
933
938
939
9524
953
959
9632
966
971
974
979
9805
9808
981
9810
986
997
999
ADD10001
ADD10002
ADD10004
ADD10005
ECART
PACK
PORTINT
PORTLCS
PortSTD
PORTWD
PORTWDHT
RETRAITMAG
RETRAITRELAIS
TestADD1234
Testadd190402
XTESTADD99
